word,decade,n
darling,1960s,5
day,1980s,5
daylight,1950s,5
days,1970s,5
dead,1960s,5
drives,1950s,5
everybody's,1980s,5
fade,1960s,5
feel,1990s,5
feelin,1970s,5
fire,1950s,5
folks,1970s,5
fortunate,1970s,5
girls,1970s,5
goode,1950s,5
goodness,1950s,5
gracious,1950s,5
ground,1960s,5
guitar,1970s,5
gun,1960s,5
guy,1960s,5
hair,1960s,5
happy,1960s,5
haze,1960s,5
head,1970s,5
heels,1960s,5
hours,1980s,5
judy,1960s,5
kids,1970s,5
kisses,1960s,5
leave,1950s,5
leave,1960s,5
leaves,1960s,5
life,1980s,5
line,1970s,5
lo,1980s,5
lord,1960s,5
lose,1950s,5
makes,1960s,5
messin,1960s,5
money,1960s,5
people,1980s,5
pickin,1960s,5
play,1950s,5
play,1970s,5
real,1960s,5
river,1980s,5
rock'n'roll,1950s,5
roll,1950s,5
romance,1970s,5
sad,1960s,5
set,1980s,5
sha,1960s,5
ship,1960s,5
smile,1970s,5
soft,1970s,5
soplo,1980s,5
spoken,1960s,5
stone,1960s,5
street,1960s,5
surely,1950s,5
sweet,1960s,5
til,1950s,5
told,1970s,5
trace,1970s,5
wait,1960s,5
whoa,1970s,5
woo,1950s,5
world,1970s,5
ya,1980s,5
yo,1980s,5
zih,1980s,5
afraid,1960s,4
age,1970s,4
answer,1960s,4
babe,1960s,4
beat,1970s,4
begging,1970s,4
boss,1970s,4
brings,1970s,4
burnin,1970s,4
cast,1960s,4
coming,1970s,4
complete,1960s,4
cry,1980s,4
daisy,1950s,4
deep,1980s,4
died,1970s,4
dog,1960s,4
doin,1960s,4
dream,1960s,4
dream,1970s,4
drugs,2000s,4
ear,2000s,4
ease,1970s,4
engines,1970s,4
everybody's,1970s,4
faster,1950s,4
fear,1970s,4
feel,1980s,4
feelin,1950s,4
fingers,1980s,4
fooled,1970s,4
free,1980s,4
friend,1960s,4
fuse,1970s,4
gettin,1950s,4
girl,1980s,4
glitter,1980s,4
gotta,1970s,4
grey,1960s,4
guess,1960s,4
guy,2000s,4
hand,1970s,4
hands,1960s,4
happiness,1960s,4
harm,1960s,4
heard,1970s,4
home,1980s,4
honey,1970s,4
hope,1960s,4
hot,1960s,4
house,1980s,4
hung,1960s,4
laid,1970s,4
late,1960s,4
laugh,1960s,4
led,1970s,4
liquor,2000s,4
live,1970s,4
lolo,1970s,4
lookin,1960s,4
lost,1960s,4
lover,1970s,4
magic,1970s,4
mind,1970s,4
minute,1960s,4
miss,1960s,4
modern,2000s,4
moonlight,1970s,4
mountain,1980s,4
night,1950s,4
ooh,1950s,4
ooh,1980s,4
pop,1980s,4
proud,1960s,4
purple,1960s,4
raise,1970s,4
ready,1960s,4
reelin,1950s,4
rolling,1960s,4
roof,1960s,4
round,1980s,4
sang,1970s,4
sea,1970s,4
seats,1980s,4
shoot,1960s,4
shoulder,1960s,4
something's,1960s,4
soul,1970s,4
south,1960s,4
space,1960s,4
speaking,1960s,4
stand,1960s,4
start,1960s,4
stole,1970s,4
stop,1970s,4
straight,1970s,4
