number,artist,title,time,bpm,year,genre,genre_combined,decade,track,track_gen,url,lyrics
277,David Bowie,Ziggy Stardust,3M 13S,160.7,1972,Rock 1970s,Rock,1970s,POWERTRK_098-06,POWERTRK_098,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_098/POWERTRK_098-06.html,"Oo, yeah Ziggy played guitar Jamming good with Weird and Gilly And the spiders from Mars He played it left hand But made it too far Became the special man Then we were Ziggy's band Ziggy really sang Screwed up eyes and screwed down hairdo Like some cat from Japan He could lick 'em by smiling He could leave 'em to hang They came on so loaded, man Well hung and snow white tan So where were the spiders While the fly tried to break our bones? Just the beer light to guide us So we bitched about his fans and Should we crush his sweet hands? Mm Ziggy played for time Jiving us that we were Voodoo The kids were just crass He was the nazz with God given ass He took it all too far But, boy, could he play guitar Making love with his ego Ziggy sucked up into his mind Like a leper messiah When the kids had killed the man I had to break up the band Oh, yeah Oo Ziggy played guitar"
278,The Cure,Pictures of You,4M 46S,86.3,1989,Rock 1990s,Rock,1990s,BIGSHN90_02B-17,BIGSHN90_02B,https://cs.uwaterloo.ca/~dtompkin/music/track/BIGSHN90_02B/BIGSHN90_02B-17.html,"I've been looking so long at these pictures of you That I almost believe that they're real I've been living so long with my pictures of you That I almost believe that the pictures are all I can feel Remembering you, standing quiet in the rain As I ran to your heart to be near And we kissed as the sky fell in, holding you close How I always held close in your fear Remembering you, running soft through the night You were bigger and brighter and whiter than snow Screamed at the make-believe, screamed at the sky And you finally found all your courage to let it all go Remembering you, fallen into my arms Crying for the death of your heart You were stone white, so delicate, lost in the cold You were always so lost in the dark Remembering you, how you used to be Slow drowned, you were angels So much more than everything Hold for the last time, then slip away quietly Open my eyes, but I never see anything If only I'd thought of the right words I could've held on to your heart If only I'd thought of the right words I wouldn't be breaking apart All my pictures of you Looking so long at these pictures of you But I never hold on to your heart Looking so long for the words to be true But always just breaking apart My pictures of you There was nothing in the world that I ever wanted more Than to feel you deep in my heart There was nothing in the world that I ever wanted more Than to never feel the breaking apart My pictures of you"
279,The Dixie Cups,Chapel of Love,2M 45S,125.7,1964,Rock 1960s,Rock,1960s,POWERTRK_034-11,POWERTRK_034,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_034/POWERTRK_034-11.html,"Goin' to the chapel And we're gonna get ma-a-arried Goin' to the chapel And we're gonna get ma-a-arried Gee, I really love you And we're gonna get ma-a-arried Goin' to the chapel of love Spring is here, th-e-e sky is blue, whoa-oh-oh Birds all sing as if they knew Today's the day we'll say ""I do"" And we'll never be lonely anymore because we're Goin' to the chapel And we're gonna get ma-a-arried Goin' to the chapel And we're gonna get ma-a-arried Gee, I really love you And we're gonna get ma-a-arried Goin' to the chapel of love Bells will ring, the-e-e sun will shine, whoa-oh-oh I'll be his and he'll be mine We'll love until the end of time And we'll never be lonely anymore because we're Goin' to the chapel And we're gonna get ma-a-arried Goin' to the chapel And we're gonna get ma-a-arried Gee, I really love you And we're gonna get ma-a-arried Goin' to the chapel of love Yeah, yeah, yeah, yeah Goin' to the chapel of love Yeah, yeah, yeah, yeah FADE Goin' to"
280,Bill Withers,Ain't No Sunshine,2M 3S,159.5,2002,TBD,TBD,NA,DTRANDOM_006-09,DTRANDOM_006,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_006/DTRANDOM_006-09.html,"Ain't no sunshine when she's gone It's not warm when she's away. Ain't no sunshine when she's gone And she's always gone too long Anytime she goes away. Wonder this time where she's gone Wonder if she's gone to stay Ain't no sunshine when she's gone And this house just ain't no home Anytime she goes away. And I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, Hey, I oughtta leave young thing alone But ain't no sunshine when she's gone Ain't no sunshine when she's gone Only darkness every day. Ain't no sunshine when she's gone And this house just ain't no home Anytime she goes away. Anytime she goes away. Anytime she goes away. Anytime she goes away."
281,Stevie Wonder,You Are the Sunshine of My Life,2M 51S,134,1973,Slow,Slow,NA,POWERTRK_052-11,POWERTRK_052,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_052/POWERTRK_052-11.html,"You are the sunshine of my life That's why I'll always be around You are the apple of my eye Forever you'll stay in my heart I feel like this is the beginning Though I've loved you for a million years And if I thought our love was ending I'd find myself drowning in my own tears You are the sunshine of my life That's why I'll always stay around You are the apple of my eye Forever you'll stay in my heart You must have known that I was lonely Because you came to my rescue And I know that this must be heaven How could so much love be inside of you? You are the sunshine of my life, yeah That's why I'll always stay around You are the apple of my eye Forever you'll stay in my heart (Background) Love has joined us Can't stop it baby"
282,Joni Mitchell,Help Me,3M 24S,163.4,1974,TBD,TBD,NA,DTRANDOM_001-02,DTRANDOM_001,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_001/DTRANDOM_001-02.html,"Help me I think I'm falling In love again When I get that crazy feeling I know I'm in trouble again I'm in trouble 'Cause you're a rambler and a gambler And a sweet talking ladies man And you love your lovin' But not like you love your freedom Help me I think I'm falling In love too fast It's got me hoping for the future And worrying about the past 'Cause I've seen some hot, hot blazes Come down to smoke and ash We love our lovin' But not like we love our freedom Didn't it feel good We were sitting there talking Or lying there not talking Didn't it feel good You dance with the lady With the hole in her stocking Didn't it feel good Didn't it feel good Help me I think I'm falling In love with you Are you going to let me go there by myself That's such a lonely thing to do Both of us flirting around Flirting and flirting Hurting too We love our lovin' But not like we love our freedom"
283,Blondie,Call Me,3M 32S,142,1980,Dance 1980s,Dance,1980s,POWERTRK_052-12,POWERTRK_052,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_052/POWERTRK_052-12.html,"Color me your color, baby Color me your car Color me your color, darling I know who you are Come up off your color chart I know where you're comin' from Call me (call me) on the line Call me, call me any, anytime Call me (call me) my love You can call me any day or night Call me Cover me with kisses, baby Cover me with love Roll me in designer sheets I'll never get enough Emotions come, I don't know why Cover up love's alibi Call me (call me) on the line Call me, call me any, anytime Call me (call me) oh love When you're ready we can share the wine Call me Ooo-oo-oo-oo-oo, he speaks the languages of love Ooo-oo-oo-oo-oo, amore, chiamami, chiamami Ooo-oo-oo-oo-oo, appelle-moi mon chéri, appelle-moi Anytime, anyplace, anywhere, any way Anytime, anyplace, anywhere, any day, anyway Call me (call me) my love Call me, call me any, anytime Call me (call me) for a ride Call me, call me for some overtime Call me (call me) my love Call me, call me in a sweet design Call me (call me), call me for your lover's lover's alibi Call me (call me) on the line Call me, call me any, anytime Call me (call me) Oh, call me, oo-hoo-hah Call me (call me) my love Call me, call me any, anytime"
284,Elvis Costello,"(What's So Funny 'Bout) Peace, Love & Understanding",3M 32S,141.8,1999,TBD,TBD,NA,DTRANDOM_009-03,DTRANDOM_009,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_009/DTRANDOM_009-03.html,Measured Time:
285,Howlin' Wolf,Smokestack Lightnin,3M 8S,145.2,2003,TBD,TBD,NA,DTRANDOM_002-04,DTRANDOM_002,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_002/DTRANDOM_002-04.html,"Lightnin' Shinin', just like gold Why don't ya hear me cryin'? A-whoo-hooo, oooo Whooo Whoa-oh, tell me, baby, What's the, matter with you? Why don't ya hear me cryin'? Whoo-hooo, whoo-hooo Whooo Whoa-oh, tell me, baby, Where did ya, stay last night? A-why don't ya hear me cryin'? Whoo-hooo, whoo-hooo Whooo Whoa-oh, stop your train, Let her, go for a ride Why don't ya hear me cryin'? Whoo-hooo, whoo-hooo Whooo Whoa-oh, fare ya well Never see, a you no more A-why don't ya hear me cryin'? Oooo, whoo-hooo, whoo-hooo Whooo Whoa-oh, who been here baby since, I-I been gone, a little, bitty boy? Girl, be on A-whoo-hooo, whoo-hooo Whooo"
286,Pavement,Summer Babe [Winter Version],3M 16S,98.4,1992,TBD,TBD,NA,DTRANDOM_001-17,DTRANDOM_001,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_001/DTRANDOM_001-17.html,"Ice baby, I saw your girlfriend and she was eating her fingers like they're just another meal but she waits there in the levee wash she's mixin' cocktails with a plastic-tipped cigar My eyes stick to all the shiny robes you wear on the protein delta strip in abandoned house but i will wait there i'll be waiting forever... i'm waiting (waiting 8x)...(oh) Minerals, ice deposit daily, drop off the first shiny robe i've got a lot of things i want to sell, but not here, babe-- you took them all every time i sit around i find i'm shot every time i sit around i find i'm shot every time i turn around i find every time i sit around i find every time (6x)... you're my... summer babe summer babe"
287,Run-DMC,Walk This Way,5M 11S,105.6,1986,R&B 1980s,R&B 1980s,1980s,POWERTRK_009-04,POWERTRK_009,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_009/POWERTRK_009-04.html,"Run-D.M.C.: Now there's a backseat lover That's always under cover And I talked til my daddy say ""said ya ain't seen nothin till your down on a muffin, and theres sure to be a change in ways"" Now there's a cheerleader That's a real big pleaser As far as I could reminisce And the best thing lovin' Was your sister and your cousin And it started with a little kiss, like this She starts swingin' With the boys in school And her feet was flyin' up in the air Singing hey diddle diddle with a kitty in the middle I was swingin' like I just don't care So I took a big chance at the high school dance With a lady who was ready to play It wasn't me she was foolin' Cause she knew what was she was doin' When she told me how to walk this way She told me to.. Run-D.M.C. and Aerosmith: Walk this way! Talk this way! Walk this way! Talk this way! She told me to Walk this way! Talk this way! Walk this way! Talk this way! Well just gimme a kiss Oooh, a-like this! Run-D.M.C.: School girl sleezy with a classy kinda sassy Little skirt hangin' way up her knee There were three young ladies in a school gym locker And I find there were lookin' at D I was a high school loser never made it with a lady Till the boys told me somethin' I miss Then my next door neighbor Had a daughter, had a favour And I gave the girl a little kiss, like this Aerosmith: She starts swingin with the boys in the school With her feet flyin up in the air Singing hey diddle diddle with a kitty in the middle I was swingin' like I didn't care So I took a big chance at the high school dance With a miss who was ready to play Wasn't me she was foolin' cause she knew what she was doin' When she told me how to walk this way She told me to Run-D.M.C. and Aerosmith: Walk this way! Talk this way! Walk this way! Talk this way! She told me to Walk this way! Talk this way! Walk this way! Talk this way! Well just gimme a kiss Oooh, a-like this!"
287,Run-DMC,Walk This Way,5M 11S,105.6,1986,R&B 1980s,R&B 1980s,1980s,POWERTRK_009-04,POWERTRK_009,https://cs.uwaterloo.ca/~dtompkin/music/track/AEROSMTH_GH1/AEROSMTH_GH1-04.html,"Backstroke lover Always hidin' 'neath the covers ""Can I talk to you"" my daddy, he say He said ""You ain't seen nothin' Till you're down on a muffin Then you're sure to be a'changin' your ways."" I met a cheerleader, was a real young bleeder All the times I could reminisce Was the best things of lovin' With her sister and her cousin Only started with a little kiss, like this Seesaw swingin' with the boys in the school And your feet flying up in the air Singin' ""Hey, Diddle Diddle"" with your kitty in the middle Of the swing like you didn't care So I took a big chance At the high school dance With a missy who was ready to play Wasn't me she was foolin' 'Cause she knew what she was doin' And I knowed love was here to stay When she told me to Walk this way, walk this way Walk this way, walk this way Just gimme a kiss! A-like this... (Ooo! Uh.) School girl sweetie with a classy kinda sassy Little skirt's climbin' way up her knee There was three young ladies in the school gym locker When I noticed they was lookin' at me I was a high school loser, never made it with a lady Till the boys told me somethin' I missed Then my next door neighbor with a daughter had a favor So I gave her just a little kiss a-like this Seesaw swing with the boys in the school And your feet flyin' up in the air Singin' ""Hey, Diddle Diddle"" with your kitty in the middle Of the swing like you didn't care So I took a big chance At the high school dance With a missy who was ready to play Wasn't me she was foolin' 'Cause she knew what she was doin' When she told me how to walk this way She told me to Walk this way, talk this way Walk this way, walk this way Walk this way, walk this way Walk this way, talk this way Just gimme a kiss! Like this..."
288,Barrett Strong,Money (That's What I Want),2M 27S,141.1,1978,Rock 1970s,Rock,1970s,ANMHOUSE_ST1-09,ANMHOUSE_ST1,https://cs.uwaterloo.ca/~dtompkin/music/track/ANMHOUSE_ST1/ANMHOUSE_ST1-09.html,"The best things in life are free But you can get 'em to the birds and bees I need money (that's what I want) That's what I want (that's what I want) That's what I want (that's what I want) That's what I want (that's what I want) Your love give me such a thrill But your love don't pay my bills I need money (that's what I want) That's what I want (that's what I want) That's what I want (that's what I want) That's what I want (that's what I want) Money don't get everything, it's true But what it don't get, I can't use I need money (that's what I want) That's what I want (that's what I want) That's what I want (that's what I want) That's what I want (that's what I want) Money (that's what I want) Lots of money (that's what I want) Whole lot of money (that's what I want) Aha (that's what I want) Aha ha ha ha ha(that's what I want) Whoa yeah (that's what I want) Give me money (that's what I want) A lots of money (that's what I want) Always need greens (that's what I want) (that's what I want) Aha ha ha ha ha (that's what I want) Whoa yeah (that's what I want)"
289,The Beatles,Can't Buy Me Love,2M 13S,85.3,1966,Rock 1960s,Rock,1960s,BEATLES__RDA-07,BEATLES__RDA,https://cs.uwaterloo.ca/~dtompkin/music/track/BEATLES__RDA/BEATLES__RDA-07.html,"Can't buy me love, oh Love, oh Can't buy me love, oh I'll buy you a diamond ring, my friend If it makes you feel all right I'll get you anything my friend If it makes you feel all right 'Cause I don't care too much for money For money can't buy me love I'll give you all I've got to give If you say you love me too I may not have a lot to give But what I've got I'll give to you I don't care too much for money For money can't buy me love Can't buy me love, oh Everybody tells me so Can't buy me love, oh No, no, no, - - no! Say you don't need no diamond rings And I'll be satisfied Tell me that you want the kind of things That money just can't buy I don't care too much for money Money can't buy me love Buy me love Everybody tells me so Can't buy me love, oh No, no, no, - - no! Say you don't need no diamond rings And I'll be satisfied Tell me that you want the kind of things That money just can't buy I don't care too much for money Money can't buy me love Can't buy me love, oh Love oh, Buy me love, oh"
290,Eminem,Stan,5M 31S,160,2005,TBD,TBD,NA,HOTSTUFF_017-11,HOTSTUFF_017,https://cs.uwaterloo.ca/~dtompkin/music/track/HOTSTUFF_017/HOTSTUFF_017-11.html,"Chorus: Dido: My tea's gone cold I'm wondering why I.. Got out of bed at all The morning rain clouds up my window.. And I can't see at all And even if I could it'll all be gray, But your picture on my wall It reminds me, that it's not so bad, It's not so bad.. Eminem as Stan: Dear Slim, I wrote but you still ain't callin I left my cell, my pager, and my home phone at the bottom I sent two letters back in autumn, you must not-a got 'em There probably was a problem at the post office or somethin Sometimes I scribble addresses too sloppy when I jot 'em But anyways; fuck it, what's been up? Man how's your daughter? My girlfriend's pregnant too, I'm bout to be a father If I have a daughter, guess what I'ma call her? I'ma name her Bonnie. I read about your Uncle Ronnie too, I'm sorry I had a friend kill himself over some bitch who didn't want him I know you probably hear this everyday, but I'm your biggest fan I even got the underground shit that you did with Skam I got a room full of your posters and your pictures man I like the shit you did with Rawkus too, that shit was fat Anyways, I hope you get this man, hit me back, just to chat Truly yours, your biggest fan, This is Stan Chorus: Dido: My tea's gone cold I'm wondering why I.. Got out of bed at all The morning rain clouds up my window.. And I can't see at all And even if I could it'll all be gray, But your picture on my wall It reminds me, that it's not so bad, It's not so bad.. Eminem as Stan: Dear Slim, you still ain't called or wrote, I hope you have a chance I ain't mad - I just think it's FUCKED UP you don't answer fans If you didn't wanna talk to me outside your concert You didn't have to, but you coulda signed an autograph for Matthew That's my little brother man, he's only six years old We waited in the blistering cold for you, four hours and you just said, ""No."" That's pretty shitty man - you're like his fuckin idol He wants to be just like you man, he likes you more than I do I ain't that mad though, I just don't like bein' lied to Remember when we met in Denver - you said if I'd write you You would write back - see I'm just like you in a way I never knew my father neither; He used to always cheat on my mom and beat her I can relate to what you're saying in your songs So when I have a shitty day, I drift away and put 'em on Cause I don't really got shit else so that shit helps when I'm depressed I even got a tattoo of your name across the chest Sometimes I even cut myself to see how much it bleeds It's like adrenaline, the pain is such a sudden rush for me See everything you say is real, and I respect you cause you tell it My girlfriend's jealous cause I talk about you 24/7 But she don't know you like I know you Slim, no one does She don't know what it was like for people like us growin up You gotta call me man, I'll be the biggest fan you'll ever lose Sincerely yours, Stan -- P.S. We should be together too Chorus: Dido: My tea's gone cold I'm wondering why I.. Got out of bed at all The morning rain clouds up my window.. And I can't see at all And even if I could it'll all be gray, But your picture on my wall It reminds me, that it's not so bad, It's not so bad.. Eminem as Stan: Dear Mister-I'm-Too-Good-To-Call-Or-Write-My-Fans, This'll be the last package I ever send your ass It's been six months and still no word - I don't deserve it? I know you got my last two letters; I wrote the addresses on 'em perfect So this is my cassette I'm sending you, I hope you hear it I'm in the car right now, I'm doing 90 on the freeway Hey Slim, I drank a fifth of vodka, you dare me to drive? You know the song by Phil Collins, ""In the Air of the Night"" About that guy who coulda saved that other guy from drowning But didn't, then Phil saw it all, then at a show he found him? That's kinda how this is, you coulda rescued me from drowning Now it's too late - I'm on a 1000 downers now, I'm drowsy And all I wanted was a lousy letter or a call I hope you know I ripped +ALL+ of your pictures off the wall I love you Slim, we coulda been together, think about it You ruined it now, I hope you can't sleep and you dream about it And when you dream I hope you can't sleep and you SCREAM about it I hope your conscience EATS AT YOU and you can't BREATHE without me See Slim; [*screaming*] Shut up bitch! I'm tryin to talk! Hey Slim, that's my girlfriend screamin in the trunk But I didn't slit her throat, I just tied her up, see I ain't like you Cause if she suffocates she'll suffer more, and then she'll die too Well, gotta go, I'm almost at the bridge now Oh shit, I forgot, how'm I supposed to send this shit out? Chorus: Dido: My tea's gone cold I'm wondering why I.. Got out of bed at all The morning rain clouds up my window.. And I can't see at all And even if I could it'll all be gray, But your picture on my wall It reminds me, that it's not so bad, It's not so bad.. Eminem as himself: Dear Stan, I meant to write you sooner but I just been busy You said your girlfriend's pregnant now, how far along is she? Look, I'm really flattered you would call your daughter that And here's an autograph for your brother, I wrote it on the Starter cap I'm sorry I didn't see you at the show, I musta missed you Don't think I did that shit intentionally just to diss you But what's this shit you said about you like to cut your wrists too? I say that shit just clownin dogg, c'mon - how fucked up is you? You got some issues Stan, I think you need some counseling To help your ass from bouncing off the walls when you get down some And what's this shit about us meant to be together? That type of shit'll make me not want us to meet each other I really think you and your girlfriend need each other Or maybe you just need to treat her better I hope you get to read this letter, I just hope it reaches you in time Before you hurt yourself, I think that you'll be doin just fine If you relax a little, I'm glad I inspire you, but Stan, Why are you so mad? Try to understand, that I do want you as a fan I just don't want you to do some crazy shit I seen this one shit on the news a couple weeks ago that made me sick Some dude was drunk and drove his car over a bridge And had his girlfriend in the trunk, and she was pregnant with his kid And in the car they found a tape, but they didn't say who it was to Come to think about, his name was.. it was you Damn!"
291,The Zombies,She's Not There,2M 25S,131.4,1964,TBD,TBD,NA,DTRANDOM_003-03,DTRANDOM_003,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_003/DTRANDOM_003-03.html,"Well, no one told me about her The way she lied Well, no one told me about her How many people cried But it's too late to say you're sorry How would I know? Why should I care? Please don't bother trying to find her She's not there Well, let me tell you 'bout the way she looked The way she acts and the color of her hair Her voice was soft and cool, her eyes were clear and bright But she's not there Well, no one told me about her What could I do? Well, no one told me about her Though they all knew But it's too late to say you're sorry How would I know? Why should I care? Please don't bother trying to find her She's not there Well, let me tell you 'bout the way she looked The way she acts and the color of her hair Her voice was soft and cool, her eyes were clear and bright But she's not there SOLO But it's too late to say you're sorry How would I know? Why should I care? Please don't bother trying to find her She's not there Well, let me tell you about the way she looked The way she acts and the color of her hair Her voice was soft and cool, her eyes were clear and bright But she's not there"
292,The Clash,Train in Vain,3M 10S,122.9,1980,Rock 1980s,Rock,1980s,POWERTRK_010-15,POWERTRK_010,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_010/POWERTRK_010-15.html,"You say you stand by your man Tell me something, I don't understand You said you love me and that's a fact And then you left me, said you felt trapped Well some things you can explain away But the heartache's in me 'til this day You didn't stand by me, no not at all You didn't stand by me, no way All the times when we were close I'll remember these things the most I see all my dreams come tumbling down I can't be happy without you around So alone I'll keep the wolves at bay And there's only one thing I can say You didn't stand by me, no not at all You didn't stand by me, no way You must explain why this must be Did you lie when you spoke to me? Did you stand by me? No, not at all Now I got a job but it don't pay I need new clothes, I need somewhere to stay But without all of these things I can do But without your love I won't make it through But you don't understand my point of view I suppose there's nothing I can do You didn't stand by me, no not at all You didn't stand by me, no way You must explain why this must be Did you lie when you spoke to me? Did you stand by me? You didn't stand by me, no not at all You didn't stand by me, no way"
293,Al Green,Tired of Being Alone,2M 52S,98.3,1971,TBD,TBD,NA,DTRANDOM_008-22,DTRANDOM_008,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_008/DTRANDOM_008-22.html,"I'm so tired of being alone I'm so tired of on-my-own Won't you help me girl Just as soon as you can People say that I've found a way To make you say that you love me Hey baby, you didn't go for that It's a natural fact That I wanna come back Show me where it's at, baby I'm so tired of being alone I'm so tired of on-my-own Won't you help me girl Soon as you can I guess you know that I, uh, I love you so Even though you don't want me no more Hey hey hey hey, I'm cryin' tears All through the years I'll tell ya like it is Honey, love me if you will Yeah baby Tired of being alone here by myself, now I tell ya, I'm tired baby I'm tired of being all wrapped up late at night In my dreams, nobody but you, baby Sometimes I wonder If you love me like you say you do You see baby, I been thinkin' about it, yeah I been, I been wantin' to get next to you baby Ya see, sometimes I hold my arms, I say mmmm hmmm hmmm Yeah baby Meeting you has proven to me To be my greatest dream, yeah Tired, baby Yeah, you don't know what I'm talkin' about Sometimes late at night I get to wonderin' about you baby Oh baby, baby I'm so tired of being alone I'm so tired of being alone I'm so tired of being alone"
294,Led Zeppelin,Black Dog,4M 54S,82.6,1971,Rock 1970s,Rock,1970s,LEDZEPLN_G1B-01,LEDZEPLN_G1B,https://cs.uwaterloo.ca/~dtompkin/music/track/LEDZEPLN_G1B/LEDZEPLN_G1B-01.html,"Hey, hey, mama, said the way you move Gonna make you sweat, gonna make you groove. Ah, ah, child, way you shake that thing Gonna make you burn, gonna make you sting. Hey, hey, baby, when you walk that way Watch your honey drip, can't keep away. Oh yeah, oh yeah, oh, ah, ah Oh yeah, oh yeah, oh, ah, ah. I gotta roll, can't stand still Got a flamin' heart, can't get my fill. Eyes that shine, burnin' red Dreams of you all through my head. Ah ah, ah ah, ah ah, ah ah, ah ah, ah ah, ahhh. Hey, baby, whoa baby, pretty baby Darlin' makes 'em do me now Hey, baby, oh baby, pretty baby Move me like you're doin' now. Didn't take too long 'fore I found out What people mean by down and out. Spent my money, took my car Started tellin' her friends she gonna be a star. I don't know, but I been told A big-legged woman ain't got no soul. Oh yeah, oh yeah, ah, ah, ah Oh yeah, oh yeah, ah, ah, ah. All I ask for, all I pray A steady rollin' woman gonna come my way. Need a woman gonna hold my hand Won't tell me no lies, make me a happy man. Ah ah, ah ah, ah ah, ah ah, ah ah, ah ah, ahhh. Ah, yeah! Tell me what you're doin' now Yeah-yeah, yeah-yeah, yeah-yeah Tell me what you're doin' now Babe, babe Wooh, keep doin' it, babe. Busted, babe Busted, hey Busted, hey Busted, hey Busted, hey-yeah Busted, hey-yeah Busted, hey-yeah, ooh-yeah. Ooh-ahh Tell me what you're doin' now..."
295,The Rolling Stones,Street Fighting Man,3M 16S,128.2,1968,TBD,TBD,NA,DTRANDOM_007-23,DTRANDOM_007,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_007/DTRANDOM_007-23.html,"Ev'rywhere I hear the sound of marching, charging feet, boy 'Cause summer's here and the time is right for fighting in the street, boy But a-what can a poor boy do 'Cept to sing for a rock 'n' roll band 'Cause in sleepy London town There's just no place for a street fighting man, no Hey, think the time is right for a palace revolution 'Cause where I live the game to play is compromise solution Well then what can a poor boy do 'Cept to sing for a rock 'n' roll band 'Cause in sleepy London town There's no place for a street fighting man, no Get down! Hey, said my name is called disturbance I'll shout and scream, I'll kill the king, I'll rail at all his servants And then what can a poor boy do 'Cept to sing for a rock 'n' roll band 'Cause in sleepy London town There's no place for a street fighting man, no Get down!"
296,Bob Marley & The Wailers,Get Up Stand Up,3M 19S,156.3,1975,Reggae,Reggae,NA,BOBMARLY_G1A-06,BOBMARLY_G1A,https://cs.uwaterloo.ca/~dtompkin/music/track/BOBMARLY_G1A/BOBMARLY_G1A-06.html,"Get up, stand up: stand up for your rights! Get up, stand up: stand up for your rights! Get up, stand up: stand up for your rights! Get up, stand up: don't give up the fight! Preacherman, don't tell me, Heaven is under the earth. I know you don't know What life is really worth. It's not all that glitters is gold; Half the story has never been told: So now you see the light, eh! Stand up for your rights. Come on! Get up, stand up: stand up for your rights! Get up, stand up: don't give up the fight! Get up, stand up: stand up for your rights! Get up, stand up: don't give up the fight! Most people think, Great God will come from the sky, Take away everything And make everybody feel high. But if you know what life is worth, You will look for yours on earth: And now you see the light, You stand up for your rights((Jah). Get up, stand up! (Jah! Jah!) Stand up for your rights! (Oh whoa) Get up, stand up! (Get up, stand up.) Don't give up the fight! (Life is your right.) Get up, stand up! (So we can't give up the fight.) Stand up for your rights! (Lord, Lord.) Get up, stand up! (Keep on struggling on.) Don't give up the fight! (Yeah!) We sick an' tired of-a your ism-skism game - Dyin' 'n' goin' to heaven in-a Jesus' name, Lord. We know when we understand: Almighty God is a living man. You can fool some people sometimes, But you can't fool all the people all the time. So now we see the light (What you gonna do?) We gonna stand up for our rights! (Jah, Jah, Jah!) So you better: Get up, stand up! (In the morning) Stand up for your rights! (In the night) Get up, stand up! Don't give up the fight! (Don't give it up, don't give it up!) Get up, stand up! (Get up, stand up!) Stand up for your rights! (Get up, stand up!) Get up, stand up! ( ... in your neighborhood there) Don't give up the fight! Get up, stand up! ( ... ) Stand up for your rights! Get up, stand up! Don't give up the fight!"
297,Neil Young,Heart of Gold,3M 7S,85.5,1972,Slow,Slow,NA,POWERTRK_034-15,POWERTRK_034,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_034/POWERTRK_034-15.html,"I want to live I want to give I've been a miner for a heart of gold It's these expressions I never give That keep me searching for a heart of gold And I'm getting old Keeps me searching for a heart of gold And I'm getting old I've been to Hollywood, I've been to Redwood I've crossed the ocean for a heart of gold I've been in my mind It's such a fine line That keeps me searching for a heart of gold And I'm getting old Keeps me searching for a heart of gold And I'm getting old Keep me searching for a heart of gold Keep me searching and I'm growing old Keep me searching for a heart of gold I've been a miner for a heart of gold."
