number,artist,title,bigram
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no girl
2,The Rolling Stones,Satisfaction,girl reaction
2,The Rolling Stones,Satisfaction,reaction cause
2,The Rolling Stones,Satisfaction,cause i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try and
2,The Rolling Stones,Satisfaction,and i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try and
2,The Rolling Stones,Satisfaction,and i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try and
2,The Rolling Stones,Satisfaction,and i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
