title,artist,year,genre,time_seconds,bpm,average_sentiment,genre_grouped
It's a Man's Man's Man's World,James Brown,1991,TBD,167,105.3,-0.25,TBD
Jailhouse Rock,Elvis Presley,1957,Rock 1950s,147,84.2,-0.79,Rock
Johnny B. Goode,Chuck Berry,1958,Rock 1950s,158,84.1,0.67,Rock
Jolene,Dolly Parton,1974,TBD,161,110,1.33,TBD
Jumpin' Jack Flash,The Rolling Stones,1968,Rock 1960s,220,137.5,-0.44,Rock
Just Like Heaven,The Cure,1987,Rock 1980s,211,151.7,-0.05,Rock
Just Like a Woman,Bob Dylan,1967,TBD,292,116.3,0.83,TBD
Just My Imagination (Running Away With Me),The Temptations,1965,Rock 1960s,230,92.4,1.39,Rock
Kashmir,Led Zeppelin,1990,Rock 1970s,512,120.7,0.48,Rock
Keep a Knockin',Little Richard,1958,TBD,142,119.9,2.8,TBD
Kicks,Paul Revere & The Raiders,2000,TBD,167,128,1,TBD
Killing Me Softly With His Song,Roberta Flack,1973,Slow,287,121.8,-2.13,Slow
Kiss,Prince,1986,Dance 1980s,227,111.5,0.95,Dance
Knockin' on Heaven's Door,Bob Dylan,1973,Slow,150,139.3,-1,Slow
La Bamba,Ritchie Valens,1959,Rock 1950s,124,151.5,0.33,Rock
Lady Marmalade,LaBelle,1975,Disco,196,117.4,0.33,Disco
Layla,Derek & The Dominos,1972,Rock 1970s,424,115.2,0,Rock
Leader of the Pack,The Shangri-Las,1964,Rock 1960s,171,119.1,-0.55,Rock
Lean on Me,Bill Withers,1972,Slow,225,150.6,0.09,Slow
Let It Be,The Beatles,1969,Rock 1960s,232,137.4,0.4,Rock
Let's Get It On,Marvin Gaye,1973,Dance 1970s,239,83.5,0.86,Dance
Let's Stay Together,Al Green,1971,Slow,197,102.2,0.72,Slow
Light My Fire,The Doors,1967,Rock 1960s,426,125.1,-1.33,Rock
Like a Prayer,Madonna,1989,Dance 1980s,327,111.9,1.31,Dance
Like a Rolling Stone,Bob Dylan,1965,Rock 1960s,364,95.6,0.67,Rock
Little Red Corvette,Prince,1983,Dance 1980s,296,123.2,0.84,Dance
Little Wing,Jimi Hendrix,1993,TBD,143,141.6,0.5,TBD
Living for the City,Stevie Wonder,1973,Rock 1980s,445,99.1,0.39,Rock
Loco-Motion,Little Eva,1962,Rock 1960s,148,127.5,1.88,Rock
Lola,The Kinks,1970,Rock 1970s,248,149.4,1.25,Rock
London Calling,The Clash,1979,Rock 1970s,198,134.3,-0.64,Rock
Lonely Teardrops,Jackie Wilson,1959,Rock 1950s,162,139.2,-0.9,Rock
Long Tall Sally,Little Richard,1956,Rock 1950s,126,189.8,2.5,Rock
Lose Yourself,Eminem,2005,TBD,265,171.5,0.48,TBD
Loser,Beck,1994,Rock 1990s,235,85.4,-2.34,Rock
Losing My Religion,R.E.M.,1991,Rock 1990s,267,125.4,-0.43,Rock
Louie Louie,The Kingsmen,1963,Rock 1960s,162,124,0.26,Rock
Love And Happiness,Al Green,1972,TBD,307,98.9,2.07,TBD
Love Me Tender,Elvis Presley,1956,Slow,166,108.3,2.36,Slow
Love Shack,The B-52's,1989,Rock 1980s,322,133.6,2.64,Rock
Love Will Tear Us Apart,Joy Division,1980,TBD,190,157.3,2.24,TBD
Lust for Life,Iggy Pop,1977,Rock 2000s,313,102,1,Rock
Mack the Knife,Bobby Darin,1959,Easy,184,84.7,0,Easy
Maggie May,Rod Stewart,1971,Rock 1970s,298,128.8,-0.37,Rock
Mannish Boy,Muddy Waters,1960,TBD,178,105.4,0.19,TBD
Many Rivers to Cross,Jimmy Cliff,1969,TBD,180,128,-1.3,TBD
Marquee Moon,Television,1977,TBD,640,119.1,-0.38,TBD
