year,number,artist,title,time,bpm,genre,average_sentiment_yearly
1978,178,Big Star,September Gurls,2:49,113.9,TBD,-1.0714285714285714
1978,199,Parliament,Flashlight,4:28,105.5,Dance 1970s,1.5714285714285714
1979,103,Donna Summer,Hot Stuff,3:50,120.1,Disco,2.0434782608695654
1979,146,The B-52's,Rock Lobster,6:50,91.1,Rock 1970s,0
1979,15,The Clash,London Calling,3:18,134.3,Rock 1970s,-0.64
1979,224,Chic,Good Times,3:44,110.2,Disco,1.7714285714285714
1980,144,Ramones,I Wanna Be Sedated,2:28,162.5,Rock 1980s,-1.3333333333333333
1980,179,Joy Division,Love Will Tear Us Apart,3:10,157.3,TBD,2.238095238095238
1980,248,Sugarhill Gang,Rapper's Delight,6:32,111.8,Dance 1980s,0.6638655462184874
1980,66,Bob Marley & The Wailers,Redemption Song,3:48,116.0,Reggae,0
1981,187,AC/DC,Back in Black,4:16,93.6,Rock 1980s,0.75
1981,51,Grandmaster Flash & Melle Mel,The Message,7:07,101.0,R&B 1980s,-0.3972602739726027
1982,228,The Clash,Should I Stay or Should I Go?,3:07,113.3,Rock 1980s,0.3333333333333333
1982,231,Marvin Gaye,Sexual Healing,3:59,93.9,Slow,1.6857142857142857
1983,108,Prince,Little Red Corvette,4:56,123.2,Dance 1980s,0.8421052631578947
1983,212,Prince,1999,3:37,119.2,Dance 1980s,-0.35294117647058826
1983,58,Michael Jackson,Billie Jean,4:54,117.0,Dance 1980s,0.17391304347826086
1983,84,The Police,Every Breath You Take,4:13,117.4,Slow,-0.6666666666666666
1984,143,Prince,Purple Rain,6:32,113.7,Slow,0.3333333333333333
1984,52,Prince,When Doves Cry,3:48,126.5,Dance 1980s,0.375
1985,2,The Rolling Stones,Satisfaction,3:43,134.7,Rock 1980s,-0.9705882352941176
1985,215,The Chords,Sh-Boom,2:27,137.5,TBD,1.68
1985,237,Afrika Bambaataa & Soulsonic Force,Planet Rock,5:03,122.7,Rock 1980s,0.6944444444444444
1987,131,U2,With or Without You,4:56,110.0,Slow,2
1987,201,New Order,Bizarre Love Triangle,6:42,118.4,Rock 1980s,0.058823529411764705
1987,93,U2,I Still Haven't Found What I'm Looking For,4:37,100.6,Rock 1980s,-0.25
1988,165,Tracy Chapman,Fast Car,4:53,103.7,Rock 1980s,0.6071428571428571
1988,196,Guns N' Roses,Sweet Child O' Mine,5:55,125.0,Rock 1980s,1.3333333333333333
1989,177,Tom Petty and The Heartbreakers,Free Fallin',4:15,84.3,Slow,0.5428571428571428
1989,243,The B-52's,Love Shack,5:22,133.6,Rock 1980s,2.639344262295082
1990,140,Led Zeppelin,Kashmir,8:32,120.7,Rock 1970s,0.4827586206896552
1990,162,Sinead O'Connor,Nothing Compares 2 U,5:08,120.0,Slow,-0.058823529411764705
1991,123,James Brown,It's a Man's Man's Man's World,2:47,105.3,TBD,-0.25
1991,142,James Brown,"Please, Please, Please",2:44,109.6,TBD,0.967741935483871
1991,169,R.E.M.,Losing My Religion,4:27,125.4,Rock 1990s,-0.43478260869565216
1991,33,Tina Turner,River Deep - Mountain High,3:40,102.9,Rock 1980s,1.5357142857142858
1991,9,Nirvana,Smells Like Teen Spirit,5:01,117.5,Rock 1990s,-0.3333333333333333
1992,114,The Crystals,Da Doo Ron Ron,2:18,147.6,TBD,1.25
1992,36,U2,One,4:35,90.6,Slow,0.7727272727272727
1993,101,Jimi Hendrix,Voodoo Child,5:13,118.6,TBD,1
1994,200,Beck,Loser,3:55,85.4,Rock 1990s,-2.3448275862068964
1994,235,Ray Charles,I've Got a Woman,2:55,99.4,TBD,1.6666666666666667
1994,68,Bob Dylan,Tangled Up in Blue,5:43,99.2,TBD,0.47619047619047616
1997,210,? & The Mysterians,96 Tears,3:01,123.6,TBD,-0.9393939393939394
1998,183,B.B. King,The Thrill Is Gone,5:25,90.7,TBD,0.9333333333333333
1998,46,David Bowie,Heroes,3:33,113.1,TBD,1.411764705882353
1999,107,Buddy Holly,Not Fade Away,2:16,97.5,TBD,3
2000,112,Elvis Presley,That's All Right,1:57,105.5,TBD,0
2000,203,Bob Dylan,Positively 4th Street,3:55,110.0,TBD,0.20833333333333334
2000,77,Elvis Presley,Mystery Train,2:27,121.0,TBD,-1
2002,186,Aretha Franklin,I Never Loved a Man (The Way I Love You),2:49,127.6,TBD,0
2002,241,Sly & The Family Stone,Stand,3:08,108.3,TBD,-0.3333333333333333
2003,180,OutKast,Hey Ya! [Radio Mix],3:59,159.0,TBD,1
2003,219,Howlin' Wolf,Spoonful,2:45,119.9,TBD,-0.5714285714285714
2003,24,The Impressions,People Get Ready,2:38,120.4,TBD,0.15789473684210525
2004,214,Neil Young,Rockin' in the Free World,4:44,131.9,TBD,0.6842105263157895
2005,159,The Velvet Underground,I'm Waiting for the Man,4:40,125.4,TBD,0.7777777777777778
2005,160,Public Enemy,Bring the Noise,3:47,110.2,TBD,-0.2692307692307692
2005,166,Eminem,Lose Yourself,4:25,171.5,TBD,0.47692307692307695
2006,69,Roy Orbison,Crying,2:47,97.1,TBD,-0.8461538461538461
