number,artist,title,time,bpm,year,genre,track,track_gen,block,decade
294,Led Zeppelin,Black Dog,4M 54S,82.6,1971,Rock 1970s,LEDZEPLN_G1B-01,LEDZEPLN_G1B,300s,1970s
295,The Rolling Stones,Street Fighting Man,3M 16S,128.2,1968,TBD,DTRANDOM_007-23,DTRANDOM_007,300s,1960s
296,Bob Marley & The Wailers,Get Up Stand Up,3M 19S,156.3,1975,Reggae,BOBMARLY_G1A-06,BOBMARLY_G1A,300s,1970s
297,Neil Young,Heart of Gold,3M 7S,85.5,1972,Slow,POWERTRK_034-15,POWERTRK_034,300s,1970s
298,Blondie,One Way or Another,3M 35S,162.1,1979,Dance 1970s,POWERTRK_071-14,POWERTRK_071,300s,1970s
299,Prince,Sign 'O' the Times,3M 42S,98.9,1993,Rock 1980s,PRINCE___GH2-10,PRINCE___GH2,300s,1990s
300,Madonna,Like a Prayer,5M 27S,111.9,1989,Dance 1980s,POWERTRK_101-14,POWERTRK_101,300s,1980s
301,Rod Stewart,Do Ya Think I'm Sexy?,5M 28S,112,1979,Rock 1970s,POWERTRK_058-01,POWERTRK_058,400s,1970s
302,Willie Nelson,Blue Eyes Crying in the Rain,2M 20S,116.8,1998,Country,WILNELSN_GH1-01,WILNELSN_GH1,400s,1990s
303,The Rolling Stones,Ruby Tuesday,3M 16S,104.9,1967,TBD,HOTSTUFF_023-14,HOTSTUFF_023,400s,1960s
304,The Beatles,With a Little Help From My Friends,2M 43S,112.5,1969,Rock 1960s,BEATLES__BLA-04,BEATLES__BLA,400s,1960s
305,James Brown,Say It Loud (I'm Back And I'm Proud),2M 47S,114.8,1991,TBD,DTRANDOM_005-03,DTRANDOM_005,400s,1990s
306,The Jam,That's Entertainment,3M 31S,143.2,1991,TBD,DTRANDOM_007-24,DTRANDOM_007,400s,1990s
307,The Teenagers Featuring Frankie Lymon,Why Do Fools Fall in Love,2M 17S,88.1,1956,Rock 1950s,POWERTRK_058-13,POWERTRK_058,400s,1950s
308,Jackie Wilson,Lonely Teardrops,2M 42S,139.2,1959,Rock 1950s,POWERTRK_094-11,POWERTRK_094,400s,1950s
309,Tina Turner,What's Love Got to Do With It,3M 49S,97.9,1984,Slow,POWERTRK_048-03,POWERTRK_048,400s,1980s
310,Black Sabbath,Iron Man,3M 27S,156.8,1970,Rock 1970s,POWERTRK_050-11,POWERTRK_050,400s,1970s
311,Everly Brothers,Wake Up Little Susie,2M 2S,91.2,1957,Rock 1950s,POWERTRK_015-11,POWERTRK_015,400s,1950s
312,Roy Orbison,In Dreams,2M 48S,107.9,1963,Slow,POWERTRK_143-10,POWERTRK_143,400s,1960s
313,Screamin' Jay Hawkins,I Put a Spell on You,2M 28S,86.8,1990,TBD,DTRANDOM_004-09,DTRANDOM_004,400s,1990s
314,Pink Floyd,Comfortably Numb,6M 21S,127,1980,Slow,POWERTRK_061-10,POWERTRK_061,400s,1980s
315,The Animals,Don't Let Me Be Misunderstood,2M 27S,113.5,2003,TBD,DTRANDOM_004-11,DTRANDOM_004,400s,2000s
316,Pink Floyd,Wish You Were Here,5M 10S,121.8,1975,Slow,POWERTRK_127-13,POWERTRK_127,400s,1970s
317,Jimmy Cliff,Many Rivers to Cross,3M 0S,128,1969,TBD,DTRANDOM_001-04,DTRANDOM_001,400s,1960s
318,Elvis Costello,Alison,3M 21S,88.6,1978,TBD,HOTSTUFF_027-06,HOTSTUFF_027,400s,1970s
319,Alice Cooper,School's Out,3M 28S,134.2,1972,Rock 1970s,POWERTRK_087-06,POWERTRK_087,400s,1970s
320,Led Zeppelin,Heartbreaker,4M 14S,112.4,1990,Rock 1970s,LEDZEPLN_G1A-02,LEDZEPLN_G1A,400s,1990s
321,Neil Young,Cortez the Killer,7M 32S,113.9,1977,TBD,DTRANDOM_005-09,DTRANDOM_005,400s,1970s
322,Public Enemy,Fight the Power,4M 36S,106,2005,TBD,DTRANDOM_002-14,DTRANDOM_002,400s,2000s
323,Patty Smyth,Dancing Barefoot,4M 16S,116.9,1992,TBD,DTRANDOM_005-06,DTRANDOM_005,400s,1990s
324,The Supremes,Baby Love,2M 36S,135.8,1964,Dance 1960s,POWERTRK_016-06,POWERTRK_016,400s,1960s
325,The Young Rascals,Good Lovin',2M 29S,98.4,1966,Rock 1960s,POWERTRK_028-06,POWERTRK_028,400s,1960s
326,James Brown,Sex Machine,5M 15S,108.4,1970,Rock 1970s,ESSENTLS_001-21,ESSENTLS_001,400s,1970s
327,The Impressions,For Your Precious Love,2M 46S,108.1,2001,Easy,SHAMLAMA_001-05,SHAMLAMA_001,400s,2000s
328,The Doors,The End,11M 42S,108.2,1985,Rock 1970s,DOORS____G1B-08,DOORS____G1B,400s,1980s
329,"Earth, Wind & Fire",That's the Way of the World,5M 46S,82.1,1978,TBD,DTRANDOM_003-17,DTRANDOM_003,400s,1970s
330,Queen,We Will Rock You,2M 0S,140.7,1977,Rock 1970s,POWERTRK_021-01,POWERTRK_021,400s,1970s
331,Bonnie Raitt,I Can't Make You Love Me,4M 45S,123,1991,Easy,WOMNSONG_002-13,WOMNSONG_002,400s,1990s
332,Bob Dylan,Subterranean Homesick Blues,2M 16S,86.8,1965,Rock 1960s,POWERTRK_130-09,POWERTRK_130,400s,1960s
333,Norman Greenbaum,Spirit in the Sky,4M 1S,128.4,1969,TBD,DTRANDOM_006-08,DTRANDOM_006,400s,1960s
334,The Rolling Stones,Wild Horses,5M 45S,144.2,1971,TBD,DTRANDOM_004-13,DTRANDOM_004,400s,1970s
335,The Velvet Underground,Sweet Jane,3M 15S,105.6,1998,TBD,DTRANDOM_007-22,DTRANDOM_007,400s,1990s
336,Aerosmith,Walk This Way,3M 32S,108,1975,Rock 1980s,AEROSMTH_GH1-04,AEROSMTH_GH1,400s,1970s
337,Michael Jackson,Beat It,4M 19S,138.6,1983,Dance 1980s,POWERTRK_056-06,POWERTRK_056,400s,1980s
338,Wings,Maybe I'm Amazed,3M 51S,160.9,2001,TBD,HOTSTUFF_002-08,HOTSTUFF_002,400s,2000s
339,The Supremes,You Keep Me Hanging On,2M 41S,127.6,1968,TBD,HOTSTUFF_024-02,HOTSTUFF_024,400s,1960s
340,The Who,Baba O'Riley,5M 7S,116.2,1971,Rock 1970s,POWERTRK_143-15,POWERTRK_143,400s,1970s
341,Jimmy Cliff,The Harder They Come,3M 6S,98.8,1972,TBD,DTRANDOM_002-12,DTRANDOM_002,400s,1970s
342,Dion,Runaround Sue,2M 39S,157.6,1961,Rock 1960s,POWERTRK_042-12,POWERTRK_042,400s,1960s
343,LaVern Baker,Jim Dandy,2M 13S,84.2,1991,TBD,DTRANDOM_006-13,DTRANDOM_006,400s,1990s
344,Janis Joplin,Piece of My Heart,4M 12S,158.4,1968,Rock 1960s,POWERTRK_057-08,POWERTRK_057,400s,1960s
345,Ritchie Valens,La Bamba,2M 4S,151.5,1959,Rock 1950s,POWERTRK_026-15,POWERTRK_026,400s,1950s
346,2Pac,California Love,4M 47S,91.5,1996,R&B 1990s,ESSENTLS_013-17,ESSENTLS_013,400s,1990s
347,Elton John,Candle in the Wind,3M 48S,124.7,1974,Rock 1970s,ELTONJON_GH1-08,ELTONJON_GH1,400s,1970s
348,The Isley Brothers,That Lady (Part 1 & 2),5M 34S,128.2,1973,TBD,DTRANDOM_003-08,DTRANDOM_003,400s,1970s
349,Ben E. King,Spanish Harlem,2M 48S,125.4,1961,Slow,POWERTRK_137-17,POWERTRK_137,400s,1960s
350,Little Eva,Loco-Motion,2M 28S,127.5,1962,Rock 1960s,POWERTRK_022-07,POWERTRK_022,400s,1960s
351,The Platters,Great Pretender,2M 39S,120.9,1955,Slow,POWERTRK_024-08,POWERTRK_024,400s,1950s
352,Elvis Presley,All Shook Up,2M 0S,147,1957,Rock 1950s,POWERTRK_017-11,POWERTRK_017,400s,1950s
353,Eric Clapton,Tears in Heaven,4M 32S,153.7,1992,Slow,POWERTRK_010-09,POWERTRK_010,400s,1990s
354,Elvis Costello,Watching the Detective,3M 41S,134.6,1978,TBD,HOTSTUFF_027-07,HOTSTUFF_027,400s,1970s
355,Creedence Clearwater Revival,Bad Moon Rising,2M 19S,89.7,1969,Rock 1960s,POWERTRK_053-01,POWERTRK_053,400s,1960s
356,Eurythmics,Sweet Dreams,4M 53S,126,1983,Rock 1980s,POWERTRK_047-07,POWERTRK_047,400s,1980s
357,Jimi Hendrix,Little Wing,2M 23S,141.6,1993,TBD,DTRANDOM_003-15,DTRANDOM_003,400s,1990s
358,Martha Reeves & The Vandellas,Nowhere to Run,2M 55S,129.2,1965,Dance 1960s,POWERTRK_143-08,POWERTRK_143,400s,1960s
359,Muddy Waters,Got My Mojo Working,2M 50S,113.3,1999,TBD,DTRANDOM_005-14,DTRANDOM_005,400s,1990s
360,Roberta Flack,Killing Me Softly With His Song,4M 47S,121.8,1973,Slow,POWERTRK_091-10,POWERTRK_091,400s,1970s
361,The Clash,Complete Control,3M 13S,87.4,1977,TBD,DTRANDOM_009-09,DTRANDOM_009,400s,1970s
362,The Beatles,All You Need Is Love,3M 48S,104.7,1969,Rock 1960s,BEATLES__BLA-07,BEATLES__BLA,400s,1960s
363,Box Tops,The Letter,2M 0S,138.2,1967,Rock 1960s,POWERTRK_040-16,POWERTRK_040,400s,1960s
364,Bob Dylan,Highway 61 Revisited,3M 30S,136.8,1965,TBD,DTRANDOM_002-06,DTRANDOM_002,400s,1960s
365,The Righteous Brothers,Unchained Melody,3M 36S,100.8,1966,Slow,POWERTRK_024-10,POWERTRK_024,400s,1960s
366,Bee Gees,How Deep Is Your Love,4M 0S,105.1,1977,Slow,POWERTRK_145-12,POWERTRK_145,400s,1970s
367,Cream,White Room,4M 56S,110.2,1968,Rock 1960s,POWERTRK_122-09,POWERTRK_122,400s,1960s
368,Depeche Mode,Personal Jesus,5M 48S,130,1990,Rock 1990s,POWERTRK_086-13,POWERTRK_086,400s,1990s
369,Bo Diddley,I'm a Man,3M 2S,102.4,1957,TBD,DTRANDOM_008-19,DTRANDOM_008,400s,1950s
370,Jimi Hendrix,The Wind Cries Mary,3M 22S,153.8,1972,Rock 1970s,JIMHNDRX_GH1-03,JIMHNDRX_GH1,400s,1970s
371,The Who,I Can't Explain,2M 3S,137.8,1965,Rock 1960s,POWERTRK_134-02,POWERTRK_134,400s,1960s
372,Television,Marquee Moon,10M 40S,119.1,1977,TBD,DTRANDOM_006-15,DTRANDOM_006,400s,1970s
373,Sam Cooke,(What A) Wonderful World,2M 5S,128.8,1960,Rock 1960s,POWERTRK_096-17,POWERTRK_096,400s,1960s
